Ia,Ib,Ic,Va,Vb,Vc,FaultType
39.05954854,-29.52322151,-12.48094203,0.481916146,0.074532245,-0.556448391,0
49.49261686,-26.2224297,-20.66154733,0.469208768,0.042340491,-0.511549259,0
-29.12515891,92.83929443,-66.61131216,-0.613066835,0.250582014,0.362484821,0
21.58116797,69.8182155,-94.60874118,-0.470993723,0.595413752,-0.124420029,0
35.15042678,53.04239405,-91.5946619,-0.349024175,0.625891153,-0.276866978,0
-29.43330133,-6.709985861,32.81514732,0.503824784,-0.51067843,0.006853646,0
-41.71477407,97.50518166,-59.03766631,-0.586178746,0.134463254,0.451715492,0
28.45450323,-28.34666993,-3.416519646,0.54115764,-0.046718703,-0.494438936,0
15.98114932,71.57002795,-90.69404616,-0.510373735,0.568094842,-0.057721108,0
-48.22913448,96.77784222,-51.79347086,-0.556771523,0.05896843,0.497803093,0
-4.23447933,-24.50679221,25.66681409,0.585845724,-0.360361105,-0.225484619,0
-72.3236724,67.83567274,1.134174141,-0.153278136,-0.420338044,0.573616181,0
55.02548714,1.476713205,-59.66780396,0.116472226,0.467287017,-0.583759243,0
-35.56472474,-2.503840485,34.86378011,0.466701374,-0.540192079,0.073490705,0
50.07044651,24.34625887,-77.34045358,-0.137561895,0.594175079,-0.456613185,0
-5.608586341,87.56732752,-85.21788021,-0.598829272,0.449233135,0.149596137,0
-42.55980629,97.46887506,-58.15601543,-0.582988407,0.125100766,0.457887641,0
51.8877406,-13.87093849,-41.18849608,0.292981066,0.319224762,-0.612205828,0
-67.96130807,43.37927466,21.71201448,0.047287686,-0.534092748,0.486805062,0
-33.76772323,97.12821689,-66.61056222,-0.608452809,0.217181979,0.39127083,0
30.83451328,-27.97691906,-6.165326776,0.529106311,-0.018283782,-0.510822529,0
33.9429775,51.99983851,-88.97327146,-0.370879332,0.621159255,-0.250279922,0
-41.19927023,98.86141775,-61.03698592,-0.589764888,0.144587331,0.445177558,0
27.96246046,58.1546196,-89.03101049,-0.428825013,0.607449905,-0.178624892,0
-23.69109727,-11.04686651,31.41174243,0.531135894,-0.48092588,-0.050210014,0
-70.14647749,51.58396435,15.46134835,-0.010698456,-0.506676932,0.517375389,0
44.31336454,-25.02715449,-22.34357806,0.427142062,0.159676569,-0.586818631,0
-31.30921291,-5.180203469,33.16063676,0.493686423,-0.519559754,0.025873331,0
-53.75716477,96.66295801,-46.27544753,-0.524531602,-0.006844209,0.531375811,0
-66.5825411,155.6635114,-86.63968626,-0.442664251,-0.042127274,0.484791525,0
-69.55624724,83.83311642,-17.74764159,-0.321114167,-0.277852342,0.59896651,0
51.5564742,-16.42858214,-38.18056249,0.309752227,0.30179419,-0.611546417,0
-22.71984425,-11.73099096,31.12493349,0.535223209,-0.475526557,-0.059696652,0
-27.56956427,97.3021438,-73.11228474,-0.618125308,0.279674163,0.338451145,0
50.89831774,-11.86780796,-42.45583675,0.300083367,0.312489668,-0.612573035,0
25.85023559,64.12797424,-93.37613716,-0.437728128,0.608170977,-0.17044285,0
-58.76606348,-50.80814515,111.9082284,-0.492879312,-0.041879177,0.534758489,0
-5.963391962,85.56567062,-82.61994686,-0.600213178,0.440960579,0.159252599,0
42.57119747,-26.25256618,-19.37688089,0.446270673,0.131763382,-0.578034055,0
40.07462677,168.9021821,-206.2615093,0.498447158,0.040613615,-0.539060772,0
-36.15542518,96.10861077,-63.07978672,-0.601812432,0.189205246,0.412607187,0
54.66843107,4.512198552,-62.46966005,0.097297115,0.480659104,-0.577956219,0
37.38647678,-28.88025666,-11.5668219,0.4921879,0.056274175,-0.548462075,0
-65.65105979,132.5066105,-64.51364021,-0.450195468,-0.04217495,0.492370419,0
4.334074613,-26.68562396,19.15936708,0.592396885,-0.289284751,-0.303112134,0
-15.18599709,-18.76959643,30.8778842,0.561025438,-0.435908126,-0.125117312,0
50.89256034,-15.80634222,-38.25882665,0.317262141,0.294086815,-0.611348956,0
